SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,TenureMonths,MonthlyCharges,ChurnLabel
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),470.2,24,19.55,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),4627.8,52,91.6,No
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),4399.5,46,96.05,Yes
No,No,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,108.7,3,36.85,Yes
No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,3835.55,39,100.0,No
No,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),3486.65,50,70.5,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1275.85,63,19.7,No
No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,2715.3,26,105.45,No
No,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,999.9,11,94.2,No
No,No,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),709.5,14,50.1,No
Yes,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,5890,59,99.5,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,4254.85,49,84.5,Yes
No,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,389.1,6,56.25,Yes
No,No,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),3321.35,67,49.35,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,741,35,21.1,No
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7919.8,72,107.7,No
No,No,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),3003.55,36,85.85,No
No,No,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,382.2,13,30.15,No
No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),3097,34,90.05,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),5718.2,53,108.95,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),7689.95,72,104.15,Yes
Yes,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,7112.15,67,105.6,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7076.35,66,108.45,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1851.45,72,26.1,No
No,Yes,No,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1874.45,27,66.15,No
No,Yes,No,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),3953.7,67,60.4,No
No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),189.95,7,25.05,No
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),8127.6,70,115.55,Yes
No,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),1686.85,19,89.35,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),295.55,16,19.35,No
No,No,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),847.3,8,103.35,Yes
No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1841.9,41,45.2,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),4733.1,49,93.85,No
Yes,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),847.8,33,24.9,No
No,No,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),1700.9,39,41.15,No
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,321.65,4,85.65,Yes
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,141.5,3,45.35,Yes
No,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,1901.25,36,53.1,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),5727.15,71,80.4,No
No,Yes,No,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,1070.7,17,61.95,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1498.85,68,24.15,No
Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),6129.65,72,84.1,No
No,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),1846.65,24,78.6,No
No,No,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1011.8,13,80.5,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1083,55,19.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,607.7,32,19.8,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1686.15,68,25.75,No
No,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),2028.8,25,81.75,No
No,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4904.2,46,104.4,No
No,No,No,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,487.75,8,60.0,No
No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1478.85,37,40.2,No
No,Yes,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),3635.15,70,51.05,No
No,No,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),947.4,23,40.65,No
No,No,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,453.4,5,96.1,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1,95.45,Yes
No,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1293.8,25,48.25,No
No,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),1864.65,32,61.4,No
Yes,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5832,52,110.75,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1445.2,61,24.2,No
No,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,7,75.15,Yes
No,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),5426.85,52,105.0,Yes
Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1145.7,15,74.45,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,343.45,17,19.15,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.8,1,44.8,No
No,No,No,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,770.5,9,86.25,No
No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),2033.05,24,83.15,No
Yes,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),7181.25,71,99.65,No
No,No,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),3565.65,36,94.8,No
No,Yes,No,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,4557.5,56,80.9,No
No,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1093.4,19,56.2,No
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,402.5,5,75.6,No
Yes,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),4459.8,45,100.15,No
No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,7039.05,67,104.0,No
No,Yes,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,432.25,12,35.5,No
No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),2888.7,33,88.6,No
Yes,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4860.35,44,109.8,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.3,1,45.3,Yes
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,8093.15,72,114.0,No
Yes,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2357.75,29,84.3,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4812.75,51,94.65,Yes
No,No,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,664.4,16,38.9,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),5815.15,72,82.3,No
No,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),3139.8,72,45.25,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1463.45,72,19.55,No
No,Yes,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,3274.35,57,59.3,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7318.2,69,108.4,Yes
Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,6470.1,70,90.85,No
No,No,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,713.1,9,80.8,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,1,19.9,Yes
No,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),893.55,19,44.85,Yes
No,No,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),3778,37,104.5,No
No,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,1,54.9,Yes
No,No,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),1517.5,28,54.65,No
No,No,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),1441.8,22,65.25,No
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2494.65,24,104.15,No
Yes,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2309.55,27,84.8,No
No,No,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),5265.2,72,73.0,No
No,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,3532,35,99.25,No
Yes,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),180.25,2,95.1,Yes
No,No,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,1219.85,15,85.3,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5676.65,55,103.65,No
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1734.5,20,85.25,Yes
No,Yes,No,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,154.55,3,55.8,No
No,Yes,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),3023.65,48,69.7,No
No,No,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),3545.1,47,75.45,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,119.3,6,19.85,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),6474.4,72,92.0,No
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,999.45,13,75.0,Yes
No,No,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),3160.55,42,73.9,Yes
Yes,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,1,45.1,Yes
No,Yes,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,422.3,9,48.6,No
No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,5448.6,55,100.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,937.1,46,21.1,No
No,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),5289.05,64,84.3,No
Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6448.85,72,89.55,No
Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3886.85,59,64.05,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),854.9,40,20.4,No
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),6991.6,72,97.75,No
No,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),7262,69,104.05,Yes
No,Yes,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,5610.25,60,94.4,Yes
Yes,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2890.65,28,103.3,Yes
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.6,1,44.6,No
No,Yes,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1565.7,21,74.05,Yes
No,No,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),259.8,5,53.85,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),779.25,43,19.65,No
Yes,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,7213.75,71,99.2,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),2597.6,38,70.45,Yes
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),7159.05,62,115.55,No
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,5914.4,56,106.8,No
No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3645.05,41,88.5,No
No,No,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),321.9,4,74.8,Yes
No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),4454.25,41,109.1,No
No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,1,35.45,Yes
No,Yes,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),4523.25,70,64.95,No
No,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,521.3,6,90.1,Yes
Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6306.5,70,88.55,No
No,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,314.55,6,50.35,No
No,Yes,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2324.7,32,75.5,No
No,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2431.35,24,99.3,Yes
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),6937.95,65,108.65,Yes
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,5610.7,50,108.55,Yes
No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3275.15,33,95.3,No
No,No,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,33.6,1,33.6,No
No,No,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,1439.35,27,56.15,No
No,No,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),3870,67,60.5,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,155.9,7,20.65,No
No,No,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),492.55,5,96.5,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1403.1,69,20.55,No
No,No,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),571.45,9,69.4,No
Yes,Yes,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3851.45,41,94.55,No
No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1885.15,22,88.75,No
No,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),335.65,6,55.7,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),6572.85,60,109.45,No
Yes,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1899.65,20,94.55,Yes
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,571.75,24,24.7,No
No,Yes,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,2448.5,40,60.3,No
No,Yes,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4946.7,60,80.6,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,5769.6,65,89.75,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,825.7,11,74.95,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),4965.1,63,81.2,No
No,Yes,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2110.15,21,102.8,Yes
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1734.65,72,24.1,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),546.85,25,25.4,No
No,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,418.8,9,45.4,Yes
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1328.35,70,19.85,No
Yes,No,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,713.6,8,87.1,No
No,No,No,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),1908.35,26,75.0,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5017.9,50,103.85,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),267.35,11,20.95,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,258.35,12,19.7,No
No,No,No,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,246.5,3,79.1,Yes
Yes,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4388.4,43,101.0,Yes
Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,1,72.1,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1201.65,62,20.05,No
No,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,1394.55,19,69.6,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,3754.6,37,99.2,Yes
No,Yes,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),1662.05,35,46.35,No
No,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4233.95,52,80.95,No
Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.25,1,49.25,Yes
No,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.15,1,79.15,No
Yes,Yes,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),2816.65,46,59.9,Yes
No,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,3801.3,59,65.5,No
No,Yes,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,1980.3,59,34.8,No
Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),1174.35,45,24.7,No
Yes,Yes,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,605.45,7,89.0,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),821.6,35,24.3,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),798.2,41,19.5,No
No,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,970.45,9,103.1,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,56,3,18.8,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1872.2,72,25.85,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1337.5,69,20.15,No
No,No,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),3682.45,48,78.75,No
No,Yes,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,345.5,8,43.45,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1216.35,51,23.95,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,6292.7,55,113.6,No
No,Yes,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,2130.45,35,61.0,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1797.1,72,25.4,No
No,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,996.85,23,44.95,No
No,No,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,969.85,18,56.25,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,5232.9,50,104.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),237.7,11,20.05,No
Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,2807.65,31,89.45,No
No,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),3107.3,39,81.5,No
Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,2263.45,24,96.55,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,123.65,6,20.2,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,6066.55,61,98.3,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,137.95,2,70.95,Yes
No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),505.95,20,24.9,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1363.45,69,19.9,No
No,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),3808,56,68.75,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1080.55,56,19.55,No
